Municipios,Año,Cacao,Cafè,Caña de azucar (1),Caña panelera (1),Plátano (2)
Cali,2016,0.00,714.70,"418,500.00",0.00,161.00
Alcalà,2016,0.00,"2,148.80",0.00,0.00,"10,000.00"
Andalucia,2016,7.50,228.40,"327,800.00",0.00,150.00
Ansermanuevo,2016,20.20,"4,809.90","163,130.00","2,850.00","4,554.00"
Argelia,2016,2.10,"1,858.30",0.00,"3,000.00","9,600.00"
Bolivar,2016,382.00,"1,424.40","72,600.00","24,448.00","5,551.00"
Buenaventura,2016,12.00,0.00,0.00,"8,295.00","1,218.00"
Buga,2016,7.50,486.70,"853,450.00","1,050.00",210.00
Bugalagrande,2016,74.70,"2,126.90","1,118,130.00","14,735.00","1,960.00"
Caicedonia,2016,31.00,"4,741.80","12,000.00","1,020.00","26,514.00"
Calima Darién,2016,1.60,383.50,0.00,"7,320.00","1,504.00"
Candelaria,2016,2.40,0.00,"3,130,790.00","70,850.00",80.00
Cartago,2016,8.80,333.10,"520,928.60","3,975.00","1,494.00"
Dagua,2016,152.50,938.70,0.00,"15,476.00","22,374.00"
El Aguila,2016,16.00,"6,222.70",0.00,"3,710.00","15,210.00"
El Cairo,2016,0.00,"2,872.60",0.00,"3,500.00","66,420.00"
El Cerrito,2016,0.00,180.00,"1,905,150.00","83,200.00",0.00
El Dovio,2016,14.40,520.30,0.00,"10,720.00",650.00
Florida,2016,14.00,"1,438.30","1,257,200.00",0.00,"3,276.00"
Ginebra,2016,0.00,793.00,"366,300.00","2,640.00","1,071.00"
Guacarì,2016,5.00,562.00,"1,409,940.00",258.00,712.00
Jamundì,2016,187.60,"1,433.30","829,350.00","3,250.00","1,207.50"
La Cumbre,2016,0.00,643.80,0.00,425.00,"2,151.50"
La Unión,2016,0.00,430.10,"170,688.00",283.50,179.20
La Victoria,2016,28.00,475.00,"112,670.00","5,700.00","2,440.00"
Obando,2016,18.30,917.60,"586,800.00","6,060.00","3,348.00"
Palmira,2016,2.50,412.70,"3,776,500.00","12,460.00","1,692.00"
Pradera,2016,0.00,569.00,"1,130,800.00",0.00,70.00
Restrepo,2016,0.00,527.90,0.00,"19,440.00","5,184.00"
Riofrìo,2016,42.00,"3,064.00","253,000.00","8,400.00","28,112.00"
Roldanillo,2016,7.60,765.70,"313,000.00",720.00,684.00
San Pedro,2016,0.00,479.40,"605,790.00","30,500.00",0.00
Sevilla,2016,21.60,"7,453.00","8,000.00","16,725.00","46,176.00"
Toro,2016,13.50,"1,577.50","200,400.00",0.00,"1,230.00"
Trujillo,2016,23.50,"4,447.80","14,520.00","3,330.00","38,522.00"
Tuluà,2016,27.00,"4,061.10","806,300.00","2,720.00","3,704.00"
Ulloa,2016,0.00,945.30,0.00,0.00,"2,655.00"
Versalles,2016,10.00,955.40,0.00,"36,960.00","1,730.40"
Vijes,2016,0.00,585.40,"12,500.00","2,310.00","1,408.00"
Yotoco,2016,0.00,"1,101.80","312,950.00","2,800.00","9,968.00"
Yumbo,2016,0.00,328.40,"116,250.00",84.00,40.00
Zarzal,2016,3.40,0.00,"1,826,721.00","2,160.00",87.00
Municipios,Año,Cacao,Cafè,Caña de azucar (1),Caña panelera (1),Plátano (2)
Cali,2015,0,319,"438,350",0,173
Alcalà,2015,0,"1,346",0,0,"5,275"
Andalucia,2015,8,192,"264,000",0,500
Ansermanuevo,2015,17,"4,643","177,960","4,880","8,280"
Argelia,2015,7,"1,592",0,"4,280","18,552"
Bolivar,2015,174,"1,514","69,000","25,600","4,992"
Buenaventura,2015,8,0,0,"8,295",910
Buga,2015,8,483,"731,510","1,050",210
Bugalagrande,2015,58,"1,433","1,053,592","15,260","1,960"
Caicedonia,2015,13,"5,630","9,000","7,680","24,723"
Candelaria,2015,2,0,"2,752,100","70,850",95
Cartago,2015,7,215,"520,929","3,975","1,440"
Dagua,2015,20,"1,154",0,"21,725","26,400"
El Aguila,2015,9,"5,847",0,"3,500","6,808"
El Cairo,2015,0,"3,486",0,"4,000","31,320"
El Cerrito,2015,0,123,"1,612,000","88,200",0
El Dovio,2015,7,475,0,"12,720",850
Florida,2015,14,816,"920,400",0,"2,856"
Ginebra,2015,0,329,"314,050","2,115",666
Guacarì,2015,5,261,"1,523,844","2,700",735
Jamundì,2015,161,694,"828,000","3,250",714
La Cumbre,2015,0,455,0,475,"2,152"
La Unión,2015,0,642,"155,347",228,171
La Victoria,2015,15,"1,080","164,375","5,700","1,842"
Obando,2015,10,562,"622,078","4,403","3,990"
Palmira,2015,3,349,"3,783,000","12,460","1,368"
Pradera,2015,0,349,"993,740",0,70
Restrepo,2015,0,583,0,"22,035","3,888"
Riofrìo,2015,25,"1,991","242,500","4,840","34,210"
Roldanillo,2015,7,654,"313,000",720,624
San Pedro,2015,0,372,"519,176","29,585",0
Sevilla,2015,13,"7,530","6,300","14,640","18,250"
Toro,2015,18,"1,464","201,072",0,"1,000"
Trujillo,2015,8,"4,021","12,360","1,755","34,030"
Tuluà,2015,22,"2,761","766,480","1,800","3,696"
Ulloa,2015,0,587,0,0,"5,200"
Versalles,2015,4,"1,019",0,"40,040","1,824"
Vijes,2015,0,481,"9,500",950,"1,225"
Yotoco,2015,0,702,"272,200","3,040","9,930"
Yumbo,2015,0,286,"133,600",360,75
Zarzal,2015,3,0,"1,768,560","2,240",99
Municipios,Año,Cacao,Cafè,Caña de azucar (1),Caña panelera (1),Plátano (2)
Cali,2014,0,0,0,0,0
Alcalà,2014,0,0,0,0,0
Andalucia,2014,775,"7,943,331","11,194,433","65,893",0
Ansermanuevo,2014,0,0,0,0,0
Argelia,2014,0,"66,000",0,0,0
Bolivar,2014,0,0,0,0,0
Buenaventura,2014,9,"29,041",0,0,0
Buga,2014,34,"642,588","118,688","1,098",0
Bugalagrande,2014,8,0,0,"1,830",0
Caicedonia,2014,167,"197,640","33,280","5,187",0
Calima Darién,2014,0,0,0,"1,400",0
Candelaria,2014,5,"63,700","389,270",210,0
Cartago,2014,44,"241,560","196,500","3,488",0
Dagua,2014,22,"455,175","7,200",783,0
El Aguila,2014,2,0,0,960,0
El Cairo,2014,0,0,"1,378,000","9,720",0
El Cerrito,2014,5,"48,743","301,635",477,0
El Dovio,2014,40,0,0,"9,480",0
Florida,2014,14,0,0,260,0
Ginebra,2014,0,0,0,584,0
Guacarì,2014,0,"23,940","1,240,000",0,0
Jamundì,2014,13,0,0,"3,180",0
La Cumbre,2014,8,"180,040",0,0,0
La Unión,2014,0,"107,400","143,000",500,0
La Victoria,2014,3,"66,528","773,880",408,0
Obando,2014,132,"137,610","512,525",700,0
Palmira,2014,0,0,0,130,0
Pradera,2014,0,"54,988","77,400",39,0
Restrepo,2014,40,"61,930","72,150",864,0
Riofrìo,2014,21,"132,821","213,197","1,335",0
Roldanillo,2014,2,"52,000","2,177,000","2,136",0
San Pedro,2014,0,"57,530",0,0,0
Sevilla,2014,0,0,0,"1,870",0
Toro,2014,46,"290,000","97,200","1,416",0
Trujillo,2014,9,"98,063","63,576",324,0
Tuluà,2014,0,"60,579","283,650",0,0
Ulloa,2014,19,"693,841","4,240","1,200",0
Versalles,2014,13,"188,328",0,0,0
Vijes,2014,17,"602,420","5,000",408,0
Yotoco,2014,13,"436,770","371,280",264,0
Yumbo,2014,0,0,0,0,0
Zarzal,2014,3,0,0,"4,530",0
Municipios,Año,Cacao,Cafè,Caña de azucar (1),Caña panelera (1),Plátano (2)
Cali,2013,0,0,"418,325",0,248
Alcalà,2013,0,"2,810",0,0,480
Andalucia,2013,10,182,"246,853",0,800
Ansermanuevo,2013,17,"6,161","173,814","5,864","6,322"
Argelia,2013,8,"1,664",0,"4,956","22,335"
Bolivar,2013,89,"1,458","48,720","22,656","4,758"
Buenaventura,2013,0,0,0,851,959
Buga,2013,4,34,"567,872",300,210
Bugalagrande,2013,50,"1,984","894,463","10,900","1,960"
Caicedonia,2013,8,"5,118","9,475","1,050","22,606"
Calima Darién,2013,2,395,0,"8,640","1,353"
Candelaria,2013,3,0,"2,368,399",0,80
Cartago,2013,3,187,"379,343",383,"1,440"
Dagua,2013,12,"1,615",0,"21,725","27,600"
El Aguila,2013,18,"6,670",0,436,"6,325"
El Cairo,2013,0,"3,114",0,"2,800","30,720"
El Cerrito,2013,0,115,"1,591,836","88,200",0
El Dovio,2013,16,543,0,"12,800","1,680"
Florida,2013,12,720,"756,326",0,"5,300"
Ginebra,2013,0,"4,172","278,838",18,"1,176"
Guacarì,2013,2,219,"1,290,240","2,500",856
Jamundì,2013,118,952,"946,168","3,550",922
La Cumbre,2013,0,450,0,"1,188","2,132"
La Unión,2013,0,29,"106,087",24,242
La Victoria,2013,8,0,"146,227","7,700","1,818"
Obando,2013,4,953,"430,859","4,614","3,528"
Palmira,2013,0,279,"3,270,252",0,"1,320"
Pradera,2013,0,0,"925,997",0,70
Restrepo,2013,0,751,0,"2,152","3,466"
Riofrìo,2013,26,"3,238","224,929","9,440","79,650"
Roldanillo,2013,9,634,"176,600","1,008",636
San Pedro,2013,0,342,"442,448","28,060",0
Sevilla,2013,13,"8,587","4,922","1,464","18,250"
Toro,2013,17,"2,135","156,180",0,"1,020"
Trujillo,2013,7,"6,040","15,283","2,400","79,650"
Tuluà,2013,29,0,"780,521","1,120","3,776"
Ulloa,2013,0,775,0,0,"13,629"
Versalles,2013,2,0,0,"3,942","3,280"
Vijes,2013,0,804,"13,960","2,208","1,183"
Yotoco,2013,0,0,"271,504",140,"9,269"
Yumbo,2013,0,245,"176,300",330,100
Zarzal,2013,13,0,"1,504,712","1,647",92
Municipios,Año,Cacao,Cafè,Caña de azucar (1),Caña panelera (1),Plátano (2)
Cali,2012,0,0,0,0,0
Alcalà,2012,0,0,0,0,0
Andalucia,2012,907,"7,273,154","9,674,541","76,572",0
Ansermanuevo,2012,0,0,0,0,0
Argelia,2012,0,"50,500",0,0,0
Bolivar,2012,0,0,0,150,0
Buenaventura,2012,0,"32,109",0,0,0
Buga,2012,42,"57,188","106,272","1,055",0
Bugalagrande,2012,8,0,0,"1,875",0
Caicedonia,2012,104,"189,000","27,187","4,901",0
Calima Darién,2012,0,0,0,"1,652",0
Candelaria,2012,12,"58,344","292,500","1,400",0
Cartago,2012,50,"197,762","215,900","3,488",0
Dagua,2012,6,"545,880","4,200",70,0
El Aguila,2012,4,0,0,864,0
El Cairo,2012,0,0,"1,267,500","12,700",0
El Cerrito,2012,3,"5,209","262,634",459,0
El Dovio,2012,24,0,0,"5,339",0
Florida,2012,130,0,0,420,0
Ginebra,2012,5,0,0,604,0
Guacarì,2012,0,"16,600","1,011,420",0,0
Jamundì,2012,14,0,0,"2,541",0
La Cumbre,2012,7,"126,280",0,0,0
La Unión,2012,0,"90,420","91,008",69,0
La Victoria,2012,4,"67,158","632,500",550,0
Obando,2012,131,"135,540","446,590",690,0
Palmira,2012,0,0,0,257,0
Pradera,2012,6,"55,224","88,474",99,0
Restrepo,2012,11,"66,110","64,000","1,224",0
Riofrìo,2012,30,"129,419","204,051","1,065",0
Roldanillo,2012,0,"33,480","1,848,000","3,204",0
San Pedro,2012,0,"42,642",0,0,0
Sevilla,2012,0,0,0,"1,821",0
Toro,2012,52,"325,860","160,558",690,0
Trujillo,2012,16,"101,625","44,640",336,0
Tuluà,2012,0,"54,356","213,500","4,140",0
Ulloa,2012,13,"715,569","12,000","5,490",0
Versalles,2012,8,"146,165",0,0,0
Vijes,2012,14,0,0,56,0
Yotoco,2012,66,"453,230","565,600",232,0
Yumbo,2012,13,0,0,666,0
Zarzal,2012,0,0,0,"2,450",0
Municipios,Año,Cacao,Cafè,Caña de azucar (1),Caña panelera (1),Plátano (2)
Cali,2011,0,381,"458,080",0,456
Alcalà,2011,0,"1,832",0,"1,200",846
Andalucia,2011,0,393,"389,200",0,0
Ansermanuevo,2011,14,"6,086","22,056","6,880","5,790"
Argelia,2011,5,992,0,"3,366","16,080"
Bolivar,2011,60,"1,537","43,783","22,080","4,459"
Buenaventura,2011,5,0,0,"8,610",994
Buga,2011,18,530,"429,000","7,500","6,300"
Bugalagrande,2011,50,"1,984","1,053,836","26,160","1,960"
Caicedonia,2011,3,"2,596","7,800","1,190","8,490"
Calima Darién,2011,10,448,0,"10,725","1,194"
Candelaria,2011,5,0,"2,700,880","82,680",60
Cartago,2011,2,375,"338,655","3,750","1,377"
Dagua,2011,6,"1,302",0,"11,381",456
El Aguila,2011,5,"6,268",0,"5,400","6,340"
El Cairo,2011,2,"5,259",0,"1,420","42,095"
El Cerrito,2011,0,86,"1,927,055","38,180",0
El Dovio,2011,11,"1,087",0,"13,800",340
Florida,2011,7,"4,510","1,540,000",0,"4,120"
Ginebra,2011,0,496,"283,136",252,"1,240"
Guacarì,2011,5,525,"1,544,760","3,350",980
Jamundì,2011,155,"1,238","561,600",0,"1,500"
La Cumbre,2011,0,776,0,"1,270","2,061"
La Unión,2011,559,196,"148,465",0,299
La Victoria,2011,5,842,"140,800","10,200","1,722"
Obando,2011,5,"1,281","423,437","3,758","3,116"
Palmira,2011,0,278,"3,817,300","9,612","2,160"
Pradera,2011,0,208,"1,321,161",0,70
Restrepo,2011,0,"1,142",0,"16,020","3,229"
Riofrìo,2011,72,"3,327","297,330","4,050","10,804"
Roldanillo,2011,11,550,"162,360","1,260",237
San Pedro,2011,0,338,"583,984","28,060","1,413"
Sevilla,2011,17,"8,377",0,"12,640","68,240"
Toro,2011,30,"1,806","131,675",0,"2,990"
Trujillo,2011,6,"4,142",0,900,"6,795"
Tuluà,2011,68,"5,070","878,500","1,624","3,672"
Ulloa,2011,6,982,0,"1,760","9,638"
Versalles,2011,0,260,0,"20,000","1,836"
Vijes,2011,0,"1,038",0,"1,288","1,001"
Yotoco,2011,0,"2,067","146,718","4,081","7,992"
Yumbo,2011,0,200,"183,722",490,180
Zarzal,2011,0,0,"948,090",800,136
Municipios,Año,Cacao,Cafè,Caña de azucar (1),Caña panelera (1),Plátano (2)
Cali,2010,0,287,"687,120",0,504
Alcalà,2010,0,"2,918",0,"6,400","2,040"
Andalucia,2010,11,452,"300,000","45,645",600
Ansermanuevo,2010,6,"5,361","240,000","6,375","4,969"
Argelia,2010,5,992,0,"4,356","19,080"
Bolivar,2010,66,"1,589","58,423","23,616","4,693"
Buenaventura,2010,18,0,0,"8,750",735
Buga,2010,3,340,"461,909","9,760","3,700"
Bugalagrande,2010,56,"1,964","951,600","26,040","1,960"
Caicedonia,2010,0,"5,400","11,400","1,800","13,509"
Calima Darién,2010,0,428,0,"10,153","1,236"
Candelaria,2010,4,0,"2,952,852","80,136",60
Cartago,2010,9,420,"278,432","4,032","1,368"
Dagua,2010,6,"1,302",0,"11,381","3,952"
El Aguila,2010,5,"6,268",0,"6,912","6,662"
El Cairo,2010,2,"5,259",0,"1,400","31,740"
El Cerrito,2010,0,80,"1,709,981","29,880",0
El Dovio,2010,2,"1,105",0,"14,297",400
Florida,2010,7,"4,510","1,540,000",0,"4,120"
Ginebra,2010,0,574,"278,600",180,994
Guacarì,2010,5,525,"1,544,760","3,350",980
Jamundì,2010,79,"1,296","561,600","3,510","3,664"
La Cumbre,2010,0,808,0,"1,295","2,021"
La Unión,2010,585,378,"122,935",543,230
La Victoria,2010,5,957,"130,174","10,200","1,740"
Obando,2010,3,"1,049","428,729","3,507","2,949"
Palmira,2010,0,279,"3,065,168","8,100","2,160"
Pradera,2010,0,208,"1,325,012",0,70
Restrepo,2010,0,"1,242",0,"16,245","3,091"
Riofrìo,2010,72,"3,313","302,100","5,886","10,804"
Roldanillo,2010,12,633,"192,852","1,800",456
San Pedro,2010,0,338,"575,094","28,060","1,413"
Sevilla,2010,2,"5,913",0,"11,760","47,208"
Toro,2010,32,"1,751","127,650",0,"2,860"
Trujillo,2010,6,"4,142",0,900,"6,795"
Tuluà,2010,26,"5,070","865,500","1,288","3,728"
Ulloa,2010,0,"1,974",0,"1,760","9,802"
Versalles,2010,0,293,0,"21,670","2,238"
Vijes,2010,0,944,0,"1,840",959
Yotoco,2010,0,"2,359","149,615","4,133","7,931"
Yumbo,2010,0,200,"128,722",420,180
Zarzal,2010,0,0,"1,365,780","1,440",126
Municipios,Año,Cacao,Café,Caña de azucar (1),Caña panelera (1),Plátano
Cali,2009,4,265,"631,131",0,300
Alcalà,2009,0,"1,093",0,"6,344","1,071"
Andalucia,2009,17,278,"306,499","33,579",560
Ansermanuevo,2009,5,"2,627","286,264","5,031","4,966"
Argelia,2009,5,992,0,"3,366","16,080"
Bolivar,2009,56,"1,420","57,395","22,176","4,238"
Buenaventura,2009,20,0,0,"7,875",735
Buga,2009,0,303,"434,710","7,452","2,737"
Bugalagrande,2009,25,"2,219","1,023,650","22,248","2,320"
Caicedonia,2009,17,"5,967","11,795","1,350","16,359"
Calima Darién,2009,0,346,0,"9,202","1,212"
Candelaria,2009,5,0,"2,929,283","66,548",100
Cartago,2009,1,171,"308,771","4,032","1,206"
Dagua,2009,25,"1,221",0,"18,873","2,945"
El Aguila,2009,5,"6,305",0,"5,400","6,333"
El Cairo,2009,0,"5,259",0,"1,771","31,366"
El Cerrito,2009,0,83,"1,896,083","26,892",60
El Dovio,2009,2,872,0,"14,783",400
Florida,2009,6,283,"1,486,504",0,"3,330"
Ginebra,2009,0,575,"313,985",180,994
Guacarì,2009,0,484,"1,522,408","3,557",465
Jamundì,2009,169,"1,332","847,149","1,872","1,128"
La Cumbre,2009,0,738,0,"1,041","2,028"
La Unión,2009,5,528,"121,040",760,173
La Victoria,2009,5,933,"128,155","8,282","1,680"
Obando,2009,2,373,"357,605","1,940","2,700"
Palmira,2009,5,275,"4,324,619","8,100","2,160"
Pradera,2009,0,206,"1,469,346",0,70
Restrepo,2009,0,"1,296",0,"15,431","3,003"
Riofrìo,2009,72,"3,320","335,087","4,050","10,802"
Roldanillo,2009,6,395,"192,784","2,232",456
San Pedro,2009,0,334,"548,038","26,325","1,395"
Sevilla,2009,9,"8,764",0,"11,520","12,249"
Toro,2009,32,"1,686","125,583",0,"2,830"
Trujillo,2009,6,"4,120","10,952",659,"5,882"
Tuluà,2009,26,"5,091","959,829","4,032","3,728"
Ulloa,2009,0,"1,005",0,0,"4,185"
Versalles,2009,0,754,0,"19,044","3,220"
Vijes,2009,0,657,0,620,889
Yotoco,2009,0,"1,035","223,316",951,"5,682"
Yumbo,2009,0,209,"164,720",500,192
Zarzal,2009,6,0,"2,124,704","1,550",98
Municipios,Año,Cacao,Cafè,Caña de azucar (1),Caña panelera (1),Plátano
Cali,2008,0,0,0,0,0
Alcalà,2008,0,0,0,0,0
Andalucia,2008,478,"8,205,275","13,265,531","63,623",0
Ansermanuevo,2008,0,0,0,0,0
Argelia,2008,0,"42,790",0,0,0
Bolivar,2008,0,0,0,504,0
Buenaventura,2008,19,"27,680","748,800","2,331",0
Buga,2008,5,"627,990","119,483",462,0
Bugalagrande,2008,0,0,0,"1,093",0
Caicedonia,2008,79,"197,160","8,704","4,810",0
Calima Darién,2008,0,0,0,"1,925",0
Candelaria,2008,0,"48,090","451,750",900,0
Cartago,2008,20,"313,460","627,600","3,296",0
Dagua,2008,0,0,0,142,0
El Aguila,2008,0,0,0,816,0
El Cairo,2008,0,0,"1,349,018","10,580",0
El Cerrito,2008,0,"62,790","96,000","1,008",0
El Dovio,2008,27,0,0,"7,904",0
Florida,2008,21,0,0,442,0
Ginebra,2008,0,0,0,702,0
Guacarì,2008,0,"12,510","1,309,680","2,920",0
Jamundì,2008,15,0,0,"2,653",0
La Cumbre,2008,5,"115,780",0,0,0
La Unión,2008,0,"89,540","104,130",50,0
La Victoria,2008,0,"63,600","891,200",325,0
Obando,2008,114,"185,225","246,000",312,0
Palmira,2008,0,0,0,325,0
Pradera,2008,4,"58,188","53,160",167,0
Restrepo,2008,6,"66,550","51,550","1,104",0
Riofrìo,2008,6,"169,275","126,954",600,0
Roldanillo,2008,0,"31,625","3,685,392","32,076",0
San Pedro,2008,0,"38,065",0,0,0
Sevilla,2008,0,0,0,"1,821",0
Toro,2008,23,"388,570","88,800",689,0
Trujillo,2008,9,"110,880","50,638",356,0
Tuluà,2008,0,"51,783","301,600","4,050",0
Ulloa,2008,10,0,0,600,0
Versalles,2008,19,"226,795",0,0,0
Vijes,2008,5,"524,810","4,800",88,0
Yotoco,2008,72,"397,200",0,0,0
Yumbo,2008,0,0,0,0,0
Zarzal,2008,0,0,0,"2,562",0
Municipios,Año,Cacao,Cafè,Caña de azucar (1),Caña panelera (1),Plátano (2)
Cali,2007,0,218,"539,000",0,390
Alcalà,2007,0,"2,905",0,0,"3,762"
Andalucia,2007,4,344,"681,520","2,430",592
Ansermanuevo,2007,1,"6,602","218,739","7,140","3,920"
Argelia,2007,3,"3,365",0,"3,735","20,560"
Bolivar,2007,21,"1,076","16,368","21,120","3,770"
Buenaventura,2007,0,0,0,"9,100",770
Buga,2007,0,559,"797,295","7,280","5,520"
Bugalagrande,2007,23,"2,044","1,470,000","24,000","2,560"
Caicedonia,2007,0,"6,675",0,"1,365","20,472"
Candelaria,2007,0,0,"2,398,000","76,320",100
Cartago,2007,0,300,"241,500","3,200","1,305"
Dagua,2007,10,"1,280",0,"18,450","5,966"
Darièn,2007,0,300,0,"9,360","1,200"
El Aguila,2007,23,"6,610",0,"5,500","2,880"
El Cairo,2007,0,"3,596",0,"1,944","6,525"
El Cerrito,2007,0,76,"1,300,680","13,140",215
El Dovio,2007,40,"1,288",0,"13,850","1,200"
Florida,2007,8,263,"1,279,200",0,"3,120"
Ginebra,2007,0,587,"254,540",315,828
